,campaign_id,reach,cpa_min,cpa_max,cpa_median,cpc_min,cpc_max,cpc_median,cpm_min,cpm_max,cpm_median,clicks,spent,impressions,conversions,objective,date,cost_per_click,cost_per_impression,cost_per_conversion,Objective_EVENT_RESPONSES,Objective_LEAD_GENERATION,Objective_LOCAL_AWARENESS,Objective_MOBILE_APP_ENGAGEMENT,Objective_MOBILE_APP_INSTALLS,Objective_NONE,Objective_PAGE_LIKES,Objective_POST_ENGAGEMENT,Objective_VIDEO_VIEWS,Objective_WEBSITE_CLICKS,Objective_WEBSITE_CONVERSIONS,campaign_group_id,bidStrategy,maxBid,Bid_Type_CONVERSION_OPTIMIZE,Bid_Type_OPTIMIZE,Bid_Type_ROTATE,Bid_Type_ROTATE_INDEFINITELY,Bid_Type_automated,Bid_Type_cpc,Bid_Type_ocpm
49,6027527674303,890000,15.48,40.48,30.0,0.56,1.4,1.07,4.69,13.62,9.05,57,117.94,8571,4,WEBSITE_CONVERSIONS,1437267485039,2.06912280702,0.0137603546844,29.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027527674303,ocpm,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,6027528000703,1300000,12.61,33.24,23.59,0.2,0.48,0.35,1.87,4.62,3.24,408,199.97,25749,10,WEBSITE_CONVERSIONS,1437335616042,0.49012254902,0.00776612683988,19.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027528000703,ocpm,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,6027529267903,500000,12.87,34.23,24.3,0.2,0.48,0.35,1.69,4.05,2.9,396,175.09,30560,5,WEBSITE_CONVERSIONS,1437260841370,0.442146464646,0.00572938481675,35.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027529267903,ocpm,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,6027556045949,11714000,1.12,2.57,1.92,0.46,1.06,0.78,1.77,11.85,6.8,552,178.38,71673,427,WEBSITE_CLICKS,1438385747049,0.323152173913,0.00248880331506,0.41775175644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027556045949,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,6027565568415,24000,0.54,1.3,0.94,0.27,0.63,0.46,1.94,5.28,3.55,46,14.89,1448,32,POST_ENGAGEMENT,1440430137659,0.323695652174,0.0102831491713,0.4653125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6027565568415,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,6027607480103,1700000,15.65,40.6,30.0,0.55,1.46,1.06,4.7,13.94,9.4,55,82.88,5233,1,WEBSITE_CONVERSIONS,1437263874600,1.50690909091,0.0158379514619,82.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027607480103,ocpm,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,6027646050356,38600,0.27,0.33,0.33,0.15,0.19,0.19,1.73,2.33,2.26,322,132.0,17921,217,WEBSITE_CLICKS,1441198985583,0.409937888199,0.00736566039842,0.608294930876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027646050356,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,6027646459556,22200,0.35,0.38,0.38,0.14,0.17,0.17,1.21,1.4,1.4,38,12.91,2407,18,WEBSITE_CLICKS,1439407602756,0.339736842105,0.00536352305775,0.717222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027646459556,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,6027687500615,20000,0.55,1.58,1.04,0.26,0.64,0.44,2.43,5.95,4.07,135,33.31,3359,92,POST_ENGAGEMENT,1440848275240,0.246740740741,0.0099166418577,0.362065217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6027687500615,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,6027693587766,2200000,0.61,1.85,1.2,0.52,1.39,0.95,0.41,1.07,0.76,207,159.84,75338,181,WEBSITE_CLICKS,1437774966276,0.772173913043,0.00212163848257,0.883093922652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027693587766,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59,6027694546166,2100000,0.51,1.56,1.08,0.44,1.07,0.78,0.36,0.87,0.62,118,119.79,69977,103,WEBSITE_CLICKS,1437774962986,1.01516949153,0.00171184817869,1.16300970874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027694546166,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,6027694702766,5900000,0.5,1.49,1.05,0.44,1.03,0.77,0.39,1.03,0.7,135,118.92,78082,124,WEBSITE_CLICKS,1437778543726,0.880888888889,0.00152301426705,0.959032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027694702766,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,6027694911766,1900000,0.44,1.15,0.81,0.38,0.95,0.67,0.32,1.03,0.64,220,158.37,118403,193,WEBSITE_CLICKS,1437774970599,0.719863636364,0.00133755056882,0.820569948187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027694911766,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,6027696543103,220000,11.52,29.86,21.54,0.2,0.45,0.33,1.85,4.66,3.26,81,50.82,6494,1,WEBSITE_CONVERSIONS,1437318065489,0.627407407407,0.00782568524792,50.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027696543103,ocpm,16.19,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,6027709777758,1600000,0.28,0.66,0.49,0.14,0.32,0.24,0.99,3.24,2.23,257,35.27,10278,194,WEBSITE_CLICKS,1438654164382,0.137237354086,0.00343160147889,0.181804123711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027709777758,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,6027728458358,1400000,0.3,0.71,0.52,0.15,0.33,0.25,1.03,3.54,2.39,103,28.08,10461,66,WEBSITE_CLICKS,1438639719056,0.272621359223,0.00268425580728,0.425454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027728458358,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,6027732777541,230000,0.55,1.28,0.97,0.31,0.71,0.54,0.94,5.0,3.3,1003,300.07,86208,698,WEBSITE_CLICKS,1440102107339,0.299172482552,0.00348076744618,0.429899713467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027732777541,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,6027746622415,1500000,0.07,0.18,0.13,0.05,0.13,0.09,2.05,5.68,3.75,732,189.69,39419,691,WEBSITE_CLICKS,1441397260847,0.259139344262,0.00481214642685,0.274515195369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027746622415,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,6027749229103,890000,15.08,45.1,30.0,0.65,1.64,1.16,5.88,17.01,11.43,8,9.84,602,1,WEBSITE_CONVERSIONS,1437411626240,1.23,0.0163455149502,9.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027749229103,ocpm,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
